No;City;Type
925;Мамадыш;Малый
926;Менделеевск;Малый
927;Мензелинск;Малый
928;Набережные Челны;Крупнейший
929;Нижнекамск;Большой
930;Нурлат;Малый
931;Тетюши;Малый
932;Чистополь;Средний
933;Андреаполь;Малый
934;Бежецк;Малый
935;Белый;Малый
936;Бологое;Малый
937;Весьегонск;Малый
938;Вышний Волочёк;Средний
939;Западная Двина;Малый
940;Зубцов;Малый
941;Калязин;Малый
942;Кашин;Малый
943;Кимры;Малый
944;Конаково;Малый
945;Красный Холм;Малый
946;Кувшиново;Малый
947;Лихославль;Малый
948;Нелидово;Малый
949;Осташков;Малый
950;Ржев;Средний
951;Старица;Малый
952;Тверь;Крупный
953;Торжок;Малый
954;Торопец;Малый
955;Удомля;Малый
956;Асино;Малый
957;Кедровый;Малый
958;Колпашево;Малый
959;Северск;Большой
960;Стрежевой;Малый
961;Томск;Крупнейший
962;Алексин;Средний
963;Белёв;Малый
964;Богородицк;Малый
965;Болохово;Малый
966;Венёв;Малый
967;Донской;Средний
968;Ефремов;Малый
969;Кимовск;Малый
970;Киреевск;Малый
971;Липки;Малый
972;Новомосковск;Большой
973;Плавск;Малый
974;Суворов;Малый
975;Тула;Крупнейший
976;Узловая;Средний
977;Чекалин;Малый
978;Щёкино;Средний
979;Ясногорск;Малый
980;Советск;Малый
981;Ак-Довурак;Малый
982;Кызыл;Большой
983;Туран;Малый
984;Чадан;Малый
985;Шагонар;Малый
986;Заводоуковск;Малый
987;Ишим;Средний
988;Тобольск;Средний
989;Тюмень;Крупнейший
990;Ялуторовск;Малый
991;Воткинск;Большой
992;Глазов;Средний
993;Ижевск;Крупнейший
994;Камбарка;Малый
995;Можга;Малый
996;Сарапул;Большой
997;Барыш;Малый
998;Димитровград;Большой
999;Инза;Малый
1000;Новоульяновск;Малый
1001;Сенгилей;Малый
1002;Ульяновск;Крупнейший
1003;Амурск;Малый
1004;Бикин;Малый
1005;Вяземский;Малый
1006;Комсомольск-на-Амуре;Крупный
1007;Николаевск-на-Амуре;Малый
1008;Советская Гавань;Малый
1009;Хабаровск;Крупнейший
1010;Абаза;Малый
1011;Абакан;Большой
1012;Саяногорск;Малый
1013;Сорск;Малый
1014;Черногорск;Средний
1015;Белоярский;Малый
1016;Когалым;Средний
1017;Лангепас;Малый
1018;Лянтор;Малый
1019;Мегион;Малый
1020;Нефтеюганск;Большой
1021;Нижневартовск;Крупный
1022;Нягань;Средний
1023;Покачи;Малый
1024;Пыть-Ях;Малый
1025;Радужный;Малый
1026;Советский;Малый
1027;Сургут;Крупный
1028;Урай;Малый
1029;Ханты-Мансийск;Средний
1030;Югорск;Малый
1031;Аша;Малый
1032;Бакал;Малый
1033;Верхнеуральск;Малый
1034;Верхний Уфалей;Малый
1035;Еманжелинск;Малый
1036;Златоуст;Большой
1037;Карабаш;Малый
1038;Карталы;Малый
1039;Касли;Малый
1040;Катав-Ивановск;Малый
1041;Копейск;Большой
1042;Коркино;Малый
1043;Куса;Малый
1044;Кыштым;Малый
1045;Магнитогорск;Крупный
1046;Миасс;Большой
1047;Миньяр;Малый
1048;Нязепетровск;Малый
1049;Озёрск;Средний
1050;Пласт;Малый
1051;Сатка;Малый
1052;Сим;Малый
1053;Снежинск;Малый
1054;Трёхгорный;Малый
1055;Троицк;Средний
1056;Усть-Катав;Малый
1057;Чебаркуль;Малый
1058;Челябинск;Миллионник
1059;Южноуральск;Малый
1060;Юрюзань;Малый
1061;Аргун;Малый
1062;Грозный;Крупный
1063;Гудермес;Малый
1064;Урус-Мартан;Малый
1065;Шали;Малый
1066;Алатырь;Малый
1067;Канаш;Малый
1068;Козловка;Малый
1069;Мариинский Посад;Малый
1070;Новочебоксарск;Большой
1071;Цивильск;Малый
1072;Чебоксары;Крупный
1073;Шумерля;Малый
1074;Ядрин;Малый
1075;Анадырь;Малый
1076;Билибино;Малый
1077;Певек;Малый
1078;Алдан;Малый
1079;Верхоянск;Малый
1080;Вилюйск;Малый
1081;Ленск;Малый
1082;Мирный;Малый
1083;Нерюнгри;Средний
1084;Нюрба;Малый
1085;Олёкминск;Малый
1086;Покровск;Малый
1087;Среднеколымск;Малый
1088;Томмот;Малый
1089;Удачный;Малый
1090;Якутск;Крупный
1091;Губкинский;Малый
1092;Лабытнанги;Малый
1093;Муравленко;Малый
1094;Надым;Малый
1095;Новый Уренгой;Большой
1096;Ноябрьск;Большой
1097;Салехард;Малый
1098;Тарко-Сале;Малый
1099;Гаврилов-Ям;Малый
1100;Данилов;Малый
1101;Любим;Малый
1102;Мышкин;Малый
1103;Переславль-Залесский;Малый
1104;Пошехонье;Малый
1105;Ростов;Малый
1106;Рыбинск;Большой
1107;Тутаев;Малый
1108;Углич;Малый
1109;Ярославль;Крупнейший
